,value,Iteration,Model,Dataset,DataType
0,99.93815708101424,0,laplace,iris,numeric
1,99.75262832405691,1,laplace,iris,numeric
2,99.62894248608536,2,laplace,iris,numeric
3,99.87631416202845,3,laplace,iris,numeric
4,99.87631416202845,4,laplace,iris,numeric
5,99.87631416202845,5,laplace,iris,numeric
6,99.87631416202845,6,laplace,iris,numeric
7,99.87631416202845,7,laplace,iris,numeric
8,99.75262832405691,8,laplace,iris,numeric
9,99.62894248608536,9,laplace,iris,numeric
0,99.56709956709958,0,randomwalk,iris,numeric
1,99.75262832405691,1,randomwalk,iris,numeric
2,99.75262832405691,2,randomwalk,iris,numeric
3,99.75262832405691,3,randomwalk,iris,numeric
4,99.69078540507113,4,randomwalk,iris,numeric
5,99.443413729128,5,randomwalk,iris,numeric
6,99.75262832405691,6,randomwalk,iris,numeric
7,99.5052566481138,7,randomwalk,iris,numeric
8,99.69078540507113,8,randomwalk,iris,numeric
9,99.56709956709958,9,randomwalk,iris,numeric
0,99.81447124304268,0,wnll,iris,numeric
1,99.87631416202845,1,wnll,iris,numeric
2,99.75262832405691,2,wnll,iris,numeric
3,99.75262832405691,3,wnll,iris,numeric
4,99.87631416202845,4,wnll,iris,numeric
5,100.0,5,wnll,iris,numeric
6,99.69078540507113,6,wnll,iris,numeric
7,99.93815708101424,7,wnll,iris,numeric
8,99.87631416202845,8,wnll,iris,numeric
9,99.93815708101424,9,wnll,iris,numeric
0,99.81447124304268,0,mean_shifted_laplace,iris,numeric
1,99.75262832405691,1,mean_shifted_laplace,iris,numeric
2,99.87631416202845,2,mean_shifted_laplace,iris,numeric
3,99.81447124304268,3,mean_shifted_laplace,iris,numeric
4,99.75262832405691,4,mean_shifted_laplace,iris,numeric
5,99.81447124304268,5,mean_shifted_laplace,iris,numeric
6,99.87631416202845,6,mean_shifted_laplace,iris,numeric
7,99.75262832405691,7,mean_shifted_laplace,iris,numeric
8,99.69078540507113,8,mean_shifted_laplace,iris,numeric
9,99.81447124304268,9,mean_shifted_laplace,iris,numeric
0,99.75262832405691,0,poissonmbo_old,iris,numeric
1,99.75262832405691,1,poissonmbo_old,iris,numeric
2,99.81447124304268,2,poissonmbo_old,iris,numeric
3,99.81447124304268,3,poissonmbo_old,iris,numeric
4,99.93815708101424,4,poissonmbo_old,iris,numeric
